season_x,name,position,team_x,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,opp_team_name,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,was_home,yellow_cards,GW,season_weight,predicted_points,is_selected,value
2024-25,Fábio Vieira,MID,Arsenal,0,0,0,0,0.0,-1.0,-1.0,0,0,0.0,0.0,Unknown,0,-1.0,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0,0.0,0.5,0.0,is_selected_0,5.5
2024-25,Gabriel Jesus,FWD,Arsenal,0,0,1,0,0.8,-1.0,-1.0,0,0,0.1,0.2,Unknown,5,-1.0,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,1,0.0,0.5,0.27,is_selected_1,7.0
2024-25,Gabriel Magalhães,DEF,Arsenal,0,1,47,2,3.3,-1.0,-1.0,0,0,4.6,35.2,Unknown,180,-1.0,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,8.0,12,0.0,0.0,0.0,,1,0.0,0.5,11.74,is_selected_2,6.0
2024-25,Kai Havertz,FWD,Arsenal,1,3,46,2,30.2,-1.0,-1.0,0,1,14.5,54.8,Unknown,180,-1.0,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,61.0,14,0.0,0.0,0.0,,0,0.0,0.5,13.3,is_selected_3,8.0
2024-25,Karl Hein,GK,Arsenal,0,0,0,0,0.0,-1.0,-1.0,0,0,0.0,0.0,Unknown,0,-1.0,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0,0.0,0.5,0.0,is_selected_4,4.0
2024-25,Jurriën Timber,DEF,Arsenal,0,0,26,1,5.5,-1.0,-1.0,0,0,1.8,3.4,Unknown,99,-1.0,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10.0,7,0.0,0.0,0.0,,0,0.0,0.5,6.78,is_selected_5,5.5
2024-25,Jorge Luiz Filho,MID,Arsenal,0,0,0,0,0.0,-1.0,-1.0,0,0,0.0,0.0,Unknown,0,-1.0,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0,0.0,0.5,0.0,is_selected_6,5.0
2024-25,Jakub Kiwior,DEF,Arsenal,0,0,0,0,0.0,-1.0,-1.0,0,0,0.0,0.0,Unknown,0,-1.0,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0,0.0,0.5,0.0,is_selected_7,5.0
2024-25,Gabriel Silva,MID,Arsenal,0,0,25,2,63.0,-1.0,-1.0,0,0,11.8,20.0,Unknown,154,-1.0,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,35.0,6,0.0,0.0,0.0,,0,0.0,0.5,5.39,is_selected_8,7.0
2024-25,Reiss Nelson,MID,Arsenal,0,0,3,0,0.0,-1.0,-1.0,0,0,0.2,2.0,Unknown,2,-1.0,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,,0,0.0,0.5,0.88,is_selected_9,5.0
